10.0,8,307.0,200.0,4376.,15.0,70,"c20","chevy","chevy","other","other"
13.0,8,350.0,145.0,4055.,12.0,76,"c10","chevy","chevy","other","other"
31.0,4,119.0,82.00,2720.,19.4,82,"s-10","chevy","chevy","other","other"
9.0,8,304.0,193.0,4732.,18.5,70,"1200d","hi","hi","other","other"
29.0,4,90.00,70.00,1937.,14.2,76,"rabbit","vw","vw","other","other"
31.9,4,89.00,71.00,1925.,14.0,79,"rabbit","vw","vw","other","other"
41.5,4,98.00,76.00,2144.,14.7,80,"rabbit","vw","vw","other","other"
44.3,4,90.00,48.00,2085.,21.7,80,"rabbit","vw","vw","other","other"
43.4,4,90.00,48.00,2335.,23.7,80,"dasher","vw","vw","other","other"
44.0,4,97.00,52.00,2130.,24.6,82,"pickup","vw","vw","other","other"
15.0,8,350.0,165.0,3693.,11.5,70,"skylark","buick","buick","other","other"
14.0,8,455.0,225.0,3086.,10.0,70,"estate","buick","buick","other","other"
13.0,8,350.0,155.0,4502.,13.5,72,"lesabre","buick","buick","other","other"
13.0,8,350.0,175.0,4100.,13.0,73,"century","buick","buick","other","other"
12.0,8,455.0,225.0,4951.,11.0,73,"electra","buick","buick","other","other"
13.0,8,350.0,150.0,4699.,14.5,74,"century","buick","buick","other","other"
17.0,6,231.0,110.0,3907.,21.0,75,"century","buick","buick","other","other"
21.0,6,231.0,110.0,3039.,15.0,75,"skyhawk","buick","buick","other","other"
30.0,4,111.0,80.00,2155.,14.8,77,"opel","buick","buick","other","other"
20.5,6,231.0,105.0,3425.,16.9,77,"skylark","buick","buick","other","other"
20.6,6,231.0,105.0,3380.,15.8,78,"century","buick","buick","other","other"
17.7,6,231.0,165.0,3445.,13.4,78,"regal","buick","buick","other","other"
16.9,8,350.0,155.0,4360.,14.9,79,"estate","buick","buick","other","other"
28.4,4,151.0,90.00,2670.,16.0,79,"skylark","buick","buick","other","other"
26.6,4,151.0,84.00,2635.,16.4,81,"skylark","buick","buick","other","other"
22.4,6,231.0,110.0,3415.,15.8,81,"century","buick","buick","other","other"
25.0,6,181.0,110.0,2945.,16.4,82,"century","buick","buick","other","other"
23.0,4,122.0,86.00,2220.,14.0,71,"capri","mercury","mercury","other","other"
11.0,8,429.0,208.0,4633.,11.0,72,"marquis","mercury","mercury","other","other"
12.0,8,429.0,198.0,4952.,11.5,73,"marquis","mercury","mercury","other","other"
21.0,6,155.0,107.0,2472.,14.0,73,"capri","mercury","mercury","other","other"
15.0,6,250.0,72.00,3432.,21.0,75,"monarch","mercury","mercury","other","other"
15.0,8,302.0,130.0,4295.,14.9,77,"cougar","mercury","mercury","other","other"
20.2,8,302.0,139.0,3570.,12.8,78,"monarch","mercury","mercury","other","other"
20.8,6,200.0,85.00,3070.,16.7,78,"zephyr","mercury","mercury","other","other"
19.8,6,200.0,85.00,2990.,18.2,79,"zephyr","mercury","mercury","other","other"
16.5,8,351.0,138.0,3955.,13.2,79,"grand","mercury","mercury","other","other"
36.0,4,98.00,70.00,2125.,17.3,82,"lynx","mercury","mercury","other","other"
17.0,8,302.0,140.0,3449.,10.5,70,"torino","ford","ford","other","other"
